Word,Count
sides,16
world,16
pledge,14
which,14
those,14
power,10
shall,10
nations,10
always,8
americans,8
other,8
first,8
peace,8
freedom,8
country,8
cannot,8
citizens,8
control,6
globe,6
generation,6
fellow,6
begin,6
because,6
never,6
final,6
poverty,6
human,6
today,6
powers,4
america,4
where,4
disease,4
loyalty,4
instruments,4
finally,4
absolute,4
unite,4
against,4
though,4
forms,4
little,4
struggle,4
their,4
before,4
balance,4
friend,4
powerful,4
weakness,4
endeavor,4
success,4
deeds,4
nation,4
there,4
history,4
assure,4
beyond,4
tyranny,4
finished,4
welcome,4
whether,4
around,4
together,4
states,4
hands,4
oppose,4
forth,4
instead,4
earth,4
light,4
century,4
enemies,4
themselves,4
science,4
offer,4
revolution,4
committed,4
people,4
passed,4
every,4
would,4
south,4
supporting,4
merely,4
united,4
course,4
negotiate,4
support,4
explore,4
bring,4
alliance,4
problems,4
doubt,4
rights,4
truly,4
burden,4
alter,2
ventures,2
grand,2
becoming,2
beginning,2
tiger,2
patient,2
ancient,2
uncertain,2
share,2
renew,2
defending,2
hardship,2
abolish,2
enlarge,2
oppressed,2
unwilling,2
fruitful,2
deserts,2
weapons,2
testimony,2
alike,2
expect,2
historic,2
mankind,2
place,2
since,2
forbears,2
forget,2
great,2
prescribed,2
undoing,2
forum,2
wishes,2
neighbors,2
self-destruction,2
house,2
required,2
civility,2
torch,2
standards,2
period,2
stars,2
precise,2
inside,2
heavy,2
rightly,2
state,2
break,2
prevent,2
stays,2
proof,2
proposals,2
special,2
devotion,2
forge,2
groups,2
signifying,2
trumpet,2
engulf,2
certain,2
spiritual,2
efforts,2
price,2
intends,2
tribulation,2
subject,2
heritage,2
subversion,2
symbolizing,2
still,2
depths,2
beliefs,2
observe,2
foolishly,2
friends,2
riding,2
faith,2
allies,2
north,2
party,2
steady,2
accidental,2
employed,2
right,2
surround,2
commerce,2
remembering,2
present,2
corners,2
burdens,2
remember,2
twilight,2
sought,2
bitter,2
strong,2
assist,2
planned,2
thousand,2
beachhead,2
serve,2
communists,2
energy,2
anywhere,2
destruction,2
conscience,2
ocean,2
change,2
casting,2
blessing,2
tempt,2
summons,2
racing,2
whatever,2
faithful,2
strongly,2
peaceful,2
revolutionary,2
rejoicing,2
graves,2
terror,2
encourage,2
outpaced,2
maximum,2
master,2
secure,2
liberty,2
jungle,2
sovereign,2
preserved,2
shrink,2
forebears,2
victory,2
ended,2
bonds,2
deadly,2
split,2
republics,2
ranks,2
almighty,2
doing,2
strengthen,2
three-quarters,2
struggling,2
divided,2
responsibility,2
issue,2
destroy,2
isaiah,2
quest,2
failure,2
mankinds,2
renewal,2
comfort,2
lifetime,2
belaboring,2
divide,2
villages,2
fought,2
survival,2
adversary,2
unleashed,2
sister,2
founded,2
invective,2
judge,2
perhaps,2
places,2
challenge,2
generosity,2
belief,2
different,2
colonial,2
reward,2
national,2
granted,2
permit,2
battle,2
heirs,2
progress,2
border,2
again,2
summoned,2
young,2
sincerity,2
service,2
under,2
mortal,2
conquer,2
remain,2
common,2
terrors,2
assembly,2
society,2
governments,2
eradicate,2
modern,2
convert,2
witness,2
invoke,2
neither,2
command,2
planet,2
serious,2
alarmed,2
asking,2
sworn,2
itself,2
hemisphere,2
formulate,2
humanity,2
nearly,2
tempered,2
sacrifice,2
americas,2
answered,2
danger,2
replaced,2
believe,2
words,2
suspicion,2
become,2
sufficient,2
votes,2
celebration,2
generations,2
asunder,2
overburdened,2
inspection,2
aggression,2
origins,2
hostile,2
global,2
effort,2
whose,2
shield,2
embattled,2
request,2
cooperation,2
misery,2
knowing,2
solemn,2
creating,2
hundred,2
holds,2
strength,2
spread,2
proud,2
chains,2
exchange,2
cultural,2
these,2
disciplined,2
cooperative,2
administration,2
wonders,2
